first_party,second_party,facts,first_party_winner
"Roosevelt Green, Jr.",Georgia,"On December 12 1976 Roosevelt Green Jr and Carzell Moore allegedly raped and murdered Teresa Allen outside Macon Georgia Green and Moore were tried separately and each was convicted and sentenced to death At Greens trial the defense introduced the testimony of Thomas Pasby who had testified at Moores trial According to Pasby Moore admitted to him that he had killed Allen alone The trial court refused to allow Pasbys testimony considering it to be hearsay under Georgia law On appeal Green argued the refusal to allow Pasbys testimony constituted a violation of his right to due process under the Fourteenth Amendment but the Supreme Court of Georgia denied his claim
",True
"John S. Toll, President of the University of Maryland","Juan Carlos Moreno, et al.","This case supplements Elkins v Moreno in which Juan Carlos Moreno and other nonimmigrant aliens residing in Maryland sued the University of Maryland for failing to grant them instate status for the purpose of tuition They alleged violations of various federal laws and the Due Process and Equal Protection Clauses of the Fourteenth Amendment The district court found in favor of Moreno and the Court of Appeals affirmed In Elkins v Moreno the Supreme Court held that since the University of Maryland policy is based on showing proof of domicile in the state the University has no reason to deny instate tuition if the proper proof can be shown 
On June 23 1978 two months after the decision in Elkins the University of Maryland adopted a resolution affirming their denial of the instate tuition rate The Attorney General of Maryland then requested that the Supreme Court put the case back on the docket for further argument given the new resolution
",True
Parham,Hughes,"Curtis Parhams child and the childs mother were killed in a car accident Parham was never married to the childs mother but he signed the childs birth certificate and provided financial support Parham never legitimated his child as available under Georgia law After the childs death Parham attempted to bring a wrongful death action on behalf of his illegitimate child A Georgia statute barred fathers from bringing wrongful death actions on behalf of illegitimate children The trial court held that the law violated the Due Process and Equal Protection Clauses of the 14th Amendment The Supreme Court of Georgia reversed finding that the classification involved was reasonably related to legitimate state interests
",False
Willam Orr,Lillian Orr,"William and Lillian Orr were divorced in February 1974 William Orr was ordered to pay monthly alimony of 1240 Lillian Orr sued William Orr for lack of payments in July 1976 Alabamas alimony statutes only required husbands to pay alimony but not wives William Orr challenged these statutes as unconstitutional The Lee County Circuit Court ruled against him The Court of Civil Appeals of Alabama affirmed this ruling The Supreme Court of Alabama granted a writ of certiorari that was later dismissed
",True
Hutchinson,Proxmire,"In early 1975 Senator William Proxmire implemented what he called the Golden Fleece Award of the Month The award was given out to governmental agencies which sponsored programs and research that Proxmire found to be a waste of tax dollars One Golden Fleece went to federal agencies sponsoring the research of Ronald Hutchinson a behavioral scientist Proxmire detailed the nonsense of Hutchinsons research on the floor of the Senate in conferences with his staff and in a newsletter sent to over 100000 of his constituents Hutchinson sued for libel arguing that Proxmires statements defamed his character and caused him to endure financial loss
",True
Bell,Wolfish,"A class action lawsuit challenged the legality of conditions facing pretrial detainees in a New York City correctional facility Petitioners claimed that doublebunking restrictions on reading materials that inmates were allowed to receive and required cavity searches and shakedowns amounted to punishment before conviction
",True
"Hilmar G. Moore, Raul Jimenez, Jaime Clements","John Pleasant Sims, Mary Carter Sims, Sabrina Marie Sims, Paul Edward Sims, Shawna Evette Sims","The Texas Department of Human Resources took custody of the children of John and Mary Sims after a teacher suspected child abuse  The Sims moved to modify the Harris County court order granting custody to the state  When they were not able to obtain and immediate hearing the Sims filed a writ of habeas corpus  The court transferred the matter to Montgomery County  Rather than proceeding with the case in Montgomery County the Sims sued in Federal district court challenging the constitutionality of Texas child custody laws
The district court issued a preliminary injunction preventing Texas from prosecuting any state suit under the child custody laws  The court held that abstention under Younger v Harris was improper because of the multifaceted nature of the litigation  The federal court addressed the constitutional issues in their decision  Under Younger v Harris a federal court must abstain from ruling in a case where there are pending related claims in state court  The Supreme Court heard this case on direct appeal
",True
Personnel Administrator of Massachusetts,Feeney,"A Massachusetts law gave hiring preference to honorably discharged veterans applying for state civil service positions Feeney a woman who scored high on certain competitive civil service examinations was ranked below male veterans who had lower scores
",True
"Kenneth F. Fare, Acting Chief Probation Officer ",Michael C.,"Police arrested Michael C a 16 year old on suspicion of murder  Michael was already on probation and had a long history of criminal offenses  Before questioning policed informed Michael of his Fifth Amendment rights under Miranda v Arizona 384 US 4361966  Michael asked for his parole officer but police said he was not available  Police offered Michael an attorney which he refused  During questioning Michael made incriminating statements that linked himself to the murder
At trial Michael moved to suppress statements and sketches he drew during police questioning  The trial court denied the motion  On appeal the Supreme Court of California reversed holding that Michaels request for his probation officer automatically invoked his Fifth Amendment privilege against selfincrimination just as if Michael had asked for an attorney
",True
"William H. Stafford, Jr., et al.","John Briggs, et al.","These are two consolidated cases  For 771546 in 1972 U S Attorney William Stafford Assistant US Attorney for the Northern District of Florida Stuart Carrouth and Department of Justice Attorney Guy Goodwin conducted a grand jury investigation into a conspiracy to cause a riot in Florida Respondents were among the group subpoenaed to appear and testify During the course of the proceedings Goodwin stated under oath that there were no government agents in the witness lineup called by respondents counsel Respondents later sued Stafford Carrouth Goodwin and FBI Agent Claude Meadow in their individual and official capacities for falsely testifying and conspiring to deprive the respondents of statutory rights Respondents sued in the District Court for the District of Columbia where Goodwin resided The petitioners requested a transfer to the Northern District of Florida or a dismissal based on improper venue The district court denied the motion to transfer but granted the motion to dismiss The US Court of Appeals for the District of Columbia Circuit reversed and held that the venue was proper because Goodwin was a resident of the District of Columbia
For 78393 from 1953 until 1973 CIA agents regularly opened and photocopied mail going through the International Airport in New York to and from the Soviet Union In 1975 respondents sued on their behalf and on the behalf of others whose mail had been opened by the CIA Respondents sued in the district court of Rhode Island and alleged that the interference with their mail constituted a violation of their constitutional rights Petitioners moved to dismiss due to lack of personal jurisdiction improper venue and insufficient service of process The district court denied these motions but certified the case for an immediate appeal The U S Court of Appeals for the First Circuit affirmed the denial of the motions as they relate to petitioners employed by the CIA at the time of filing but reversed as to the officials who had left their government positions at the time of filing The Court of Appeals held that the venue was proper because one of the petitioners resided in Rhode Island
",True
"Harrah Independent School District, et al.",Mary Jane Martin,"Mary Jane Martin a tenured teacher at Harrah Independent School District was required to earn five college credits every three years as continuing education  Martin refused to comply with this requirement and did not receive a pay increase each year her contract was renewed  The Oklahoma legislature passed a law requiring a mandatory pay increase every year regardless of compliance with the continuing education  Looking for an alternative consequence the school board warned Martin that they would not renew her contract the following year if she did not complete her continuing education  Martin refused and the school board voted to terminate her for willful neglect of duty
After unsuccessfully attempting to obtain administrative relief Martin sued the school district for Fourteenth Amendment violations  The district court dismissed the case but the US Court of Appeals for the Tenth Circuit reversed holding that the termination violated the Equal Protection and Due Process Clauses of the Fourteenth Amendment
",True
Delaware,Prouse,"A Delaware patrolman stopped William Prouses car to make a routine check of his drivers license and vehicle registration The officer had not observed any traffic violation or suspicious conduct on the part of Prouse After stopping the car the officer uncovered marijuana The marijuana was later used to indict Prouse
",False
Davis,Passman,"Davis a former employee of Louisiana Congressman Otto Passman charged Passman with violating her Fifth Amendment right to due process Prior to the time of her firing Passman wrote a note explaining that even though he knew Davis as an able energetic and a hard hard worker he preferred a man to work in her position The Court of Appeals ruled that Davis had no civil remedies under the Fifth Amendment due process requirement
",True
Michael Lee Smith,Maryland,"On March 5 1976 Patricia McDonough was robbed in Baltimore Maryland She was able to give the police a description of the robber and the 1975 Monte Carlo she thought the robber was driving Within a few days she began receiving threatening phone calls that culminated in the caller telling her to stand on her porch from where she observed the same Monte Carlo drive past On March 16 the police observed the car in McDonoughs neighborhood By running a search on the license plate number the police learned the car was registered to Michael Lee Smith The police contacted the telephone company and requested that a pen register a device that only records numbers dialed record the numbers dialed from the telephone at Smiths home On March 17 the pen register recorded a call from Smiths phone to McDonoughs home so the police obtained a warrant to search Smiths house During the search police discovered a phone book with the corner turned down on the page on which McDonoughs name was found Smith was arrested and placed in a lineup where McDonough identified him as the man who robbed her
In pretrial Smith filed a motion to suppress the information derived from the installation of the pen register because it was obtained without a warrant The trial court denied the motion Smith waived a jury and the case was submitted to the court with an agreedupon statement of facts The court convicted Smith and sentenced him to six years in prison Smith appealed to the Maryland Court of Special Appeals but the Maryland Court of Appeals intervened by issuing a writ of certiorari That court affirmed the conviction and held that there was no expectation of privacy to cover the numbers dialed into a telephone system so there was no Fourth Amendment violation of the warrant requirement
",False
"United Steelworkers of America, AFL-CIO-CLC",Weber,"The United Steelworkers of America and the Kaiser Aluminum and Chemical Corporation implemented an affirmative actionbased training program to increase the number of the companys black skilled craft workers Half of the eligible positions in the training program were reserved for blacks Weber who was white was passed over for the program Weber claimed that he was the victim of reverse discrimination These cases United Steelworkers v Weber and Kaiser Aluminum v Weber were also decided together with United States v Weber
",True
North Carolina,Willie Thomas Butler,"An FBI officer read Willie Thomas Butler his rights under Miranda v Arizona after arresting him on a federal warrant  At Butlers interrogation the officer gave Butler an Advice of Rights form and asked him to sign it to indicate that he understood his rights  Butler refused to sign the waiver portion of the form but indicated that he would like to talk to the officer  Butler did not ask for an attorney  Butler proceeded to make incriminating statements which were introduced as evidence at trial  Butler moved to suppress the evidence but the trial court denied the motion  The court held that Butler had effectively waived his right to an attorney when he spoke with the FBI officer after indicating that he understood his rights  The jury found Butler guilty of kidnapping armed robbery and felonious assault  On appeal the Supreme Court of North Carolina reversed the convictions and ordered a new trial holding that statements made under interrogation are not admissible without an express waiver of rights
",True
"R. W. Jones, Sr., et al.",Charles T. Wolf et al.,"Vineville Presbyterian Church was organized in 1904 and first incorporated in 1939 Its property was purchased using funds contributed entirely by local church members The year it was organized Vineville was established as a member of the AugustaMacon Presbytery of the Presbyterian Church in the United States PCUS Under the PCUSs hierarchical structure the actions of the government of a local church were subject to the review and control of the higher church courts the Presbytery Synod and General Assembly The powers and duties of each court were set forth in the constitution of the PCUS the Book of Church Order 
On May 27 1973 164 members of Vinevilles congregation voted to separate from the PCUS and join the Presbyterian Church in America ninetyfour members opposed the resolution The AugustaMacon Presbytery appointed a commission to investigate and resolve the dispute This commission eventually ruled that the minority faction at Vineville was the true congregation of Vineville withdrawing all authority from the majority faction which took no part in the commissions inquiry
The minority faction brought a class action in state court seeking declaratory and injunctive orders establishing their right to exclusive possession and use of Vinevilles property The trial court relying on Georgias neutral principles of law approach to church property disputes found for the majority faction The Supreme Court of Georgia affirmed the ruling holding that the trial court correctly applied Georgia law and rejecting the minority factions claims under the First and Fourteenth Amendments
",True
John B. Greenholtz,Inmates of Nebraska Penal and Correctional Complex,"The Nebraska Board of Parole Parole Board procedure to determine whether an inmate was eligible for release is based on a yearly review of each inmates record and an informal interview in which the inmate could present letters and statements in support of his release on parole The Parole Board would then determine whether the inmate was a good candidate for release and if so schedule a final hearing Inmates scheduled for a final hearing were informed in advance of the month in which the hearing would take place but did not receive notice of the specific date until the morning of the hearing Inmates of the Nebraska Penal and Correctional Complex filed a class action in federal district court alleging that the discretionary parole procedures used by the Parole Board violated their rights to procedural due process under the Fourteenth Amendment The district court held that the procedures did not satisfy due process and on appeal the US Court of Appeals for the Eighth Circuit affirmed The Court of Appeals instructed the Parole Board to modify its procedures to provide each inmate eligible for parole with a full formal hearing and in the event of an adverse decision a statement of evidence relied on by the Board
",True
City of Mobile,Bolden,"Wiley L Bolden and other residents of Mobile Alabama brought a class action on behalf of all black citizens in Mobile They argued that the practice of electing the City Commissioners atlarge unfairly diluted the voting strength of black citizens A district court and the US Court of Appeals for the Fifth Circuit ruled in favor of Bolden
",True
Billy Duren ,Missouri,"A jury convicted Billy Duren of first degree murder and first degree robbery  Duren alleged that the selection of this jury violated his Sixth and Fourteenth Amendment right to a trial by a jury chosen from a fair cross section of the community  Specifically Jackson County allowed an automatic exemption from jury service for women upon request  While women made up 54 of the population in the Jackson County only 267 of people summoned from the jury wheel were women  Defendant had an allmale jury selected from a panel of 48 men and 5 women  The Missouri Supreme Court affirmed the conviction questioning the validity of Durens statistics  The court also held that even if women were disproportionally excluded from jury service the amount of women who participated in the process was well above constitutional standards
",True
"Cyrus Vance, Secretary of State et al.",Holbrook Bradley et al.,"Section 632 of the Foreign Service Act of 1946 required that members of the Foreign Service retirement system retire at 60 No mandatory retirement age was specified for employees covered by the Civil Service retirement system Holbrook Bradley a member of the Foreign Service retirement system challenged the statute in United States District Court for the District of Columbia and prevailed The government appealed to the Supreme Court
",True
New York City Transit Authority,Carl Beazer et al.,"Carl Beazer and Jose Reyes were employees of the New York Transit Authority NYTA Both were heroin addicts undergoing methadone treatment NYTA maintained a policy against hiring anyone using narcotics Methadone was considered a narcotic and both Beazer and Reyes were terminated after NYTA learned of their methadone use Beazer and Reyes filed a class action against the Transit Authority alleging that NYTAs policy discriminated against blacks and Hispanics They cited a statistic showing that 81 percent of suspected violations of NYTAs policy were black or Hispanic The United States District Court for the Southern District of New York ruled for Beazer and the United States Court of Appeals for the Second Circuit affirmed this decision
",True
Irving Jerome Dunaway,State of New York,"On March 26 1971 the proprietor of a Rochester New York pizza parlor was killed in an attempted robbery On August 10 1971 the police received a lead implicating Irving Dunaway but the lead did not provide enough information to arrest him Nevertheless the police brought him in for questioning He was not told he was under arrest but he would be physically restrained if he attempted to leave After being informed of his Miranda rights Dunaway waived his right to counsel and made statements and a drawing that incriminated himself
At trial Dunaway filed a motion to suppress the evidence of his confession and drawing The motion was denied and he was convicted The Appellate Division of the Fourth Department and the New York Court of Appeals both affirmed The Supreme Court granted certiorari vacated the judgment and remanded the case for reconsideration in light of Brown v Illinois
The Monroe County Court determined that the motion to suppress should have been granted under Brown The Appellate Division of the Fourth Department reversed and held that suspects can be detained and questioned without violating Fourth or Fifth Amendment rights The New York Court of Appeals dismissed Dunaways application for leave to appeal
",True
Southeastern Community College,Frances Davis,"Frances Davis sought admission to the nursing program at Southeastern Community College which received federal funds Davis also suffered from a hearing disability and was unable to understand speech without lipreading Davis application was denied She asked for reconsideration and her application was again denied Davis filed suit in United States District Court for the Eastern District of North Carolina which ruled against her The United States Court of Appeals for the Fourth Circuit overturned that decision
",True
Frank O’Neal Addington,Texas,"Frank Addington was charged with assault by threat of his mother His mother then filed a petition for his permanent confinement in a mental health facility At trial evidence was presented that Addington suffered from serious delusions and two physicians testified that he was a psychotic schizophrenic The jury was instructed to decide Addingtons mental state and whether he was a possible threat to himself and others by weighing the clear unequivocal and convincing evidence The jury determined the evidence was sufficient and Addington was sentenced to Austin State Hospital for an indefinite amount of time He appealed on the grounds that the jury should have been instructed to evaluate the evidence using the beyond a reasonable doubt standard The state appellate court remanded his case stating that his rights had been violated when the jury was improperly instructed on the burden of proof The Supreme Court of Texas overturned the appellate courts decision and reinstated the trial courts finding by holding that the standard of proof used in the initial jury instructions was adequate for a civil proceeding and did not violate Addingtons due process rights
",True
Ilya Wolston,"Reader's Digest Association, Inc., et al.","In 1957 and 1958 Ilya Wolstons aunt and uncle Myra and Jack Soble were the subject of an investigation to find Soviet intelligence agents in the United States On one occasion Wolston failed to respond to a subpoena and pleaded guilty to a contempt charge The incident was publicized in newspapers but Wolston succeeded in returning to life as a private citizen In 1974 Readers Digest Association published a book by John Barron about the KGB and Soviet agents in the United States The book and its index identified Wolston as a Soviet agent
Wolston sued the author and publishers for libel in district court The district court granted summary judgment for the Association and held that Wolston was a public figure and had to prove the Association acted with actual malice to prevail in a libel suit The Court of Appeals for the District of Columbia Circuit affirmed
",True
Bellotti,Baird,"A Massachusetts law required minors to gain parental consent before having an abortion However if either or both of the parents refused a judge of the superior court could allow a minor to have the procedure for good cause shown
",False
"Gannett Company, Inc.",DePasquale,"Two suspects charged with murder robbery and grand larceny requested that the public be excluded from a pretrial hearing concerning the admissibility of evidence They argued that an unabated buildup of adverse publicity had jeopardized their ability to receive a fair trial The request was granted by the judge and no objections were made at the time The judge then denied press access to the pretrial hearing and refused to immediately release the transcript of the proceedings The case was argued and decided with Marshall Secretary of Labor v American Petroleum Institute et al
",False
United States,Herman Raddatz,"Herman Raddatz was indicted for unlawfully receiving a firearm  Before trial he moved to suppress incriminating statements he made to police and FBI officers  The district court referred the motion to a magistrate judge for an evidentiary hearing as authorized by the Federal Magistrates Act FMA  The Magistrate made findings of fact and recommended dismissal of the motion to suppress  The district court accepted the recommendation and denied Raddatzs motion to suppress  A jury found Raddatz guilty and sentenced him to six months in prison and four and half years of probation  On appeal Raddatz argued that the FMA violates Article III of the Constitution and the district court denied him due process by not personally hearing disputed testimony  The US Court of Appeals for the Seventh Circuit held that the referral provisions of the FMA do not violate Constitution because the district court makes the final determination  The court reversed however because Raddatz was denied due process when the district court failed to hear the disputed testimony where credibility is crucial to the outcome
",True
Harris,McRae,"In 1965 Congress established the Medicaid program via Title XIX of the Social Security Act to provide federal financial assistance to states that chose to reimburse certain costs of medical treatment for needy persons Beginning in 1976 Congress passed a number of versions of the Hyde Amendment that severely limited the use of federal funds to reimburse the cost of abortions under the Medicaid program Cora McRae a pregnant Medicaid recipient challenged the Amendment and took action against Patricia R Harris Secretary of Health and Human Services
",True
Chiarella,United States,"Petitioner Vincent Chiarella worked in the composing room of Pandick Press Pandick a financial printer An acquiring corporation hired Pandick to produce announcements of corporate takeover bids Although the identities of the acquiring and target corporations were concealed Chiarella was able to deduce the names of the target companies Without disclosing his knowledge Chiarella purchased stock in the target companies and sold the shares immediately after the takeover bids were made public Chiarella realized slightly more than 30000 in profits from his trading activities The Securities and Exchange Commission SEC then investigated Chiarellas trading activities Chiarella entered into a consent decree with the SEC in which he agreed to return the profits he made to the sellers of the shares A few months later Chiarella was indicted on seventeen counts of violating Section 10b of the Securities Exchange Act of 1934 1934 Act and SEC Rule 10b5 Section 10b of the 1934 Act prohibits the use in connection with the purchase or sale of any security of any manipulative or deceptive device or contrivance in contravention of such rules and regulations as the SEC may prescribe Rule 10b5 promulgated under Section 10b makes it unlawful for any person to employ any device scheme or artifice to defraud    in connection with the purchase or sale of any security Chiarella was convicted at trial and the Court of Appeals for the Second Circuit affirmed his conviction
",True
Richmond Newspapers Inc.,Virginia,"After a series of mistrials in a murder case in the state of Virginia a trial judge closed the trial to the public and the media Defense counsel brought the closure motion the prosecution did not object Two reporters of Richmond Newspapers Inc challenged the judges action
",True
Diamond,Chakrabarty,"After genetically engineering a bacterium capable of breaking down crude oil Ananda Chakrabarty sought to patent his creation under Title 35 USC Section 101 providing patents for people who invent or discover any new and useful manufacture or composition of matter On appeal from an application rejection by a patent examiner the Patent Office Board of Appeals affirmed stating that living things are not patentable under Section 101 When this decision was reversed by the Court of Customs and Patent Appeals Diamond appealed and the Supreme Court granted certiorari
",False
"Crown Simpson Pulp Company, et al.",Douglas M. Costle,"Crown Simpson Pulp Company and LouisianaPacific Corporation operated two bleached craft pulp mills in California  The mills were granted permits by the California State Water Resources Control Board with variances from the Environmental Protection Agency EPA standards for effluent discharge  The EPA however denied the variances  The mill companies sought review directly in the US Court of Appeals for the Ninth Circuit under the Federal Water Pollution Control Act    The Act allows direct appeal of EPA actions either issuing or denying any permit  The court of appeals dismissed the review holding that because the State granted the permits and the EPA merely objected the variances this case did not fall under the Act
",True
"Randal Rush, et al.",Jeffrey Savchuk,"On January 13 1972 Randal Rush and Jeffrey Savchuk were involved in a singlecar crash outside of Elkhart Indiana The passenger Savchuk was injured in the crash In June 1973 Savchuk moved to Minnesota with his parents He sued Rush in Minnesota district court and attempted to obtain quasi in rem jurisdiction based on the fact that State Farm the agency that insured Rushs car operates in Minnesota Rush and State Farm moved to dismiss but the trial court denied the petition and allowed Savchuk to proceed The Minnesota Supreme Court affirmed Rush appealed the case to the Supreme Court which vacated the judgment and remanded the case for reconsideration The Minnesota Supreme Court again found in favor of Savchuk
",True
United States,Sioux Nation of Indians,"In the Fort Laramie Treaty of 1868 the United States granted the Sioux Indian Nation the Great Sioux Reservation including the Black Hills of South Dakota Congress reneged in 1877 passing an act that reclaimed the Black Hills The Sioux Nation requested compensation in 1920 The United States Court of Claims ruled against the Sioux Nation in 1942 Congress then established the Indian Claims Commission in 1946 The Commission ruled that the Sioux Nation was not barred by the Court of Claims decision and ruled that Congress used its powers of eminent domain in 1877 and the Sioux were therefore entitled to compensation The Court of Claims maintained that the Sioux were barred by their first case Congress amended the Indian Claims Commission Act in 1978 removing the judicial bar The Court of Claims then held that the Sioux were entitled to 171 million
",False
"World Wide Volkswagen Corp., Seaway Volkswagen Inc.","The Honorable Charles Woodson, District Judge of Creek County, State of Oklahoma; Key Eloise Robinson; Eva May Robinson; Harry Robinson; George Samuel Robinson","New York residents purchased a car from a Volkswagen retailer in New York  On a drive to Arizona the residents got in a car accident while driving through Oklahoma  A defective gas tank in the car allegedly caused the accident  The residents sued the retailer and its New York based wholesale distributor in Oklahoma state court  The retailer and distributor asserted that Oklahoma could not properly have jurisdiction  The trial court rejected this claim  The retailer and distributor then sought a writ of prohibition from the Supreme Court of Oklahoma to prevent the trial court from exercising in personam jurisdiction  The court denied the writ because jurisdiction was authorized by Oklahomas longarm statute which allowed jurisdiction over defendants who caused tortious injury within the state
",True
Village of Schaumburg,Citizens for Better Environment,"The Village of Schaumburg Illinois adopted an ordinance that prohibited charitable organizations from soliciting contributions in public areas without a permit Permits were only granted to organizations that could demonstrate that 75 percent of their receipts were applied towards charitable purposes Citizens for Better Environment a nonprofit taxexempt organization was denied a permit because it did not satisfy the 75percent requirement CBE sued in federal district court which ruled in their favor The United States Court of Appeals for the Seventh Circuit affirmed this ruling
",False
Rhode Island,Innis,"After a picture identification by the victim of a robbery Thomas J Innis was arrested by police in Providence Rhode Island Innis was unarmed when arrested Innis was advised of his Miranda rights and subsequently requested to speak with a lawyer While escorting Innis to the station in a police car three officers began discussing the shotgun involved in the robbery One of the officers commented that there was a school for handicapped children in the area and that if one of the students found the weapon he might injure himself Innis then interrupted and told the officers to turn the car around so he could show them where the gun was located
",True
William Walter,United States,"On September 25 1975 12 packages containing 871 boxes of films depicting homosexual activities were shipped from St Petersburg Florida to Atlanta Georgia Though addressed to Leggs Inc the boxes were mistakenly delivered to the address of LEggs Products Inc Employees of LEggs Products opened the boxes and found the boxes of films which contained suggestive drawings on one side and descriptions on the other One of the employees opened one of the boxes of films and unsuccessfully attempted to view portions of the film The FBI became involved on October 1 1975 and without making any effort to obtain a warrant projected and viewed the films
On April 6 1977 William Walter Arthur Randall Sanders Jr and Gulf Coast News Agency Inc were indicted on obscenity charges relating to the interstate transportation of the boxes of films Petitioners filed a motion to suppress use of the films as evidence The motion was denied and the petitioners were convicted The US Court of Appeals for the Fifth Circuit affirmed
",True
"Jasper F. Williams, et al.","David Zbaraz, et al. ","These are three consolidated cases
Jasper F Williams and Eugene F Diamond doctors who perform medically necessary abortions a welfare rights organization and Jane Doe a woman in poverty who needed an abortion for medical reasons but not to save her life brought a class action suit against the Director of the Illinois Department of Public Aid in federal district court The appellants challenged an Illinois statute that prohibited state medical assistance from paying for abortions that were not necessary to save the life of the mother The appellants alleged that the Medicaid Act required the state to cover the cost of all medically necessary abortions  They also alleged that the denial of funding for certain abortions is a violation of the Fourteenth Amendments guarantee of equal protection
Initially the district court refused to consider the case until the state courts had reached a decision on the statute The United States Court of Appeals for the Seventh Circuit reversed the decision and remanded the case to the district court to for consideration on the merits The district court held that the Medicaid Act required a state to provide funding for all medically necessary abortions The district court also held that the Hyde Amendment which prohibits the use of federal funds for certain abortions does not exempt the state from fulfilling the Medicaid requirements The Court of Appeals reversed the decision and held that the Hyde Amendment allows a state to limit funding to the type of abortions the Amendment specifies The case was remanded to the district court with instructions to consider the constitutional issues The district court held that both the Illinois statute and the Hyde Amendment were unconstitutional
",True
Snepp,United States,"Upon accepting employment in the CIA in 1968 Snepp signed an agreement with the Agency that he would not publish any information during or after his term of employment relating to the Agencys activities without first obtaining Agency approval Snepp published a book about CIA activities in South Vietnam without first submitting his manuscript to the Agency for review A lower court denied Snepp royalties from his book for his failure to secure approval
",False
Martinez,California,"Richard Thomas was convicted of attempted murder and committed to a mental institution for a suggested one to twenty years The parole officials released him after five months Five months after his release on parole he murdered Mary Ellen Martinez a fifteenyearold girl Her family sued the parole official for negligence but the district court dismissed the case because a California statute states that a parole officer cannot be liable for injury resulting from the decision to revoke parole or release a parolee The California Supreme Court also dismissed the case and the Martinez family appealed by arguing the statute of immunization of parole officials violates the Due Process Clause of the Fourteenth Amendment
",False
"Sears, Roebuck and Co.",County of Los Angeles and City of Compton,"The County of Los Angeles imposed an ad valorem tax on manufactured items stored in warehouses  Sears Roebuck and Co paid this tax under protest and claimed an exemption from that tax for items manufactured outside the United States and imported into the United States  These items were intended for sale both in and out of the State of California  Sears sued for a refund of the tax in the Superior Court of Los Angeles County  The court granted Sears motion for summary judgment and awarded the refund  The Court of Appeal of California reversed holding that giving exemptions to foreign goods intended for interstate commerce provided a competitive advantage over domestic goods  This made the county tax an unconstitutional regulation on interstate commerce
",False
Central Hudson Gas & Electric Corporation,Public Service Commission of New York,"The Public Service Commission of New York PSC in the interest of conserving energy enacted a regulation that prohibited electric utilities from promoting electricity use The PSCs regulation distinguished promotional advertising from informational advertising which was permitted Central Hudson Gas and Electric challenged the regulation in a New York State Supreme Court which upheld the regulation The Appellate Division of the New York State Supreme Court affirmed the decision as did the New York Court of Appeals
",True
United States,California,"Rincon Island is artificial island off the coast of Ventura County California and is connected to the mainland via a causeway Additionally there are 15 piers on the coastline The Submerged Lands Act of 1953 granted to California all land and resources within three miles of the coastline California and the United States disputed over whether the island and piers were included in this coastline A special master was appointed to resolve this dispute The Special Master found that the island and piers did not affect the shoreline and were therefore not extensions of the coastline California filed an exception to the Masters finding
",True
Reeves Inc.,Stake,"The state of South Dakota operated a cement plant A substantial percentage of the plants production was sold to buyers outside the state One such customer was Reeves Inc a concrete distributor in Wyoming that obtained over 90 percent of its cement from the staterun plant In 1978 for economic reasons the South Dakota plant began supplying instate customers before honoring other commitments Reeves Inc challenged South Dakotas hoarding of resources
",False
Fullilove,Klutznick,"In 1977 Congress enacted legislation requiring that at least 10 percent of federal funds granted for local public works programs had to be used to obtain services or supplies from businesses owned by minority group members H Earl Fullilove and other contractors filed suit claiming they had been economically harmed by the enforcement of the statute The defendant was Philip M Klutznick Secretary of Commerce
",False
Peter E. Aaron,Securities and Exchange Commission,"While working for his fathers brokerdealer firm Peter E Aaron was in charge of supervising sales of securities made by other employees and maintaining files on the companies that issued the securities sold by the firm In the fall of 1974 two of Aarons employees began telling prospective investors that they should buy shares of the LawnAMat Chemical amp Equipment Corporation LawnAMat because the company planned to manufacture a new type of small car within the next six weeks An attorney for LawnAMat contacted Aaron twice and informed him that the company had no plans to manufacture a car but Aaron did not ensure that the employees would stop making those statements in promoting the LawnAMat stock In 1976 the Securities and Exchange Commission SEC filed a complaint against Aaron in district court and alleged that he had violated and aided and abetted violations of Section 17a of the Securities Act of 1933 1933 Act Section 10b of the Securities Act of 1934 1934 Act and Rule 10b5 which is a rule promulgated by the SEC to implement Section 10b The district court found that Aaron had violated the securities laws in question through his intentional failure to stop the fraudulent practices of the employees working under him The US Court of Appeals for the Second Circuit affirmed the judgment but declined to reach the question of whether Aarons conduct amounted to an intent to deceive manipulate or defraud Instead the Court of Appeals held that proof of negligence is sufficient to establish a violation of Section 17a of the 1933 Act Section 10b of the 1934 Act and Rule 10b5
",True
Ohio,Herschel Roberts,"On January 7 1975 police arrested Herschel Roberts in Lake County Ohio Roberts was charged with forgery of a check in the name of Bernard Isaacs and of possessing stolen credit cards belonging to Amy Isaacs At the preliminary hearing on January 10 Roberts lawyer called the Isaacs daughter Anita as a witness to testify that she knew Roberts and allowed him to use her apartment while she was away The attorney attempted to elicit testimony from Anita that she gave Roberts the checks and credit cards without telling him that she did not have permission to do so Ms Isaacs would not admit to these actions and Roberts attorney did not ask the court to declare her a hostile witness or place her on crossexamination When Ms Isaacs failed to respond to five subpoenas to appear at Roberts subsequent criminal trial the state entered the transcript of her earlier testimony into evidence as allowed by an Ohio Statute 
After being convicted by the trial court Roberts appealed on the grounds that the admission of the prior testimony violated the Confrontation Clause of the Sixth Amendment The Ohio Court of Appeals reversed the conviction and the Ohio Supreme Court affirmed
",True
